,product_id,category_id,description
88,87E4005056A615EF11E3B170FC23CE4F,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y4917 5;5x15 4/100 ET 45 DIA 60;1 BFP
89,87E4005056A615EF11E3B170FC23CE59,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y969 6;5x15 4/114;3 ET 38 DIA 73;1 BFP
90,87E4005056A615EF11E3B170FC23CE63,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro 236 6;5x15 4/98 ET 25 DIA 58;6 Sil
91,87E4005056A615EF11E3B170FC23CE6D,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y3104 6;5x15 4/98 ET 32 DIA 58;6 Sil
92,87E4005056A615EF11E3B170FC23CE77,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y615 6;5x15 4/98 ET 32 DIA 58;6 BFP
93,87E4005056A615EF11E3B170FC23CE81,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y303 6;5x15 5/100 ET 38 DIA 57;1 Sil
94,87E4005056A615EF11E3B171165EEB35,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y355 6;5x15 5/100 ET 38 DIA 57;1 MBLP
95,87E4005056A615EF11E3B171165EEB3F,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y3174 6;5x15 5/100 ET 40 DIA 57;1 SFP
96,87E4005056A615EF11E3B171165EEB49,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y367 6;5x15 5/114;3 ET 40 DIA 73;1 MBLP
97,87E4005056A615EF11E3B171165EEB53,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y740 6;5x15 5/139;7 ET 40 DIA 98;5 BFP
98,87E4005056A615EF11E3B171165EEB5D,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y3159 6;5x16 5/105 ET 39 DIA 56;6 BFP
99,87E4005056A615EF11E3B171165EEB67,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y4816 6;5x16 5/105 ET 39 DIA 56;6 White
100,87E4005056A615EF11E3B1713102C4F3,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y3159 6;5x16 5/108 ET 52;5 DIA 63;3 BFP
